"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"En tant que nouvel utilisateur d'Automation Exercise
  Je veux pouvoir créer un compte depuis la page de connexion
  Afin d'accéder aux fonctionnalités réservées et gérer mon profil","416","Inscription complète en trois étapes","","2026-07-28","broken","2026-07-28","","","",""
"En tant que nouvel utilisateur d'Automation Exercise
  Je veux pouvoir créer un compte depuis la page de connexion
  Afin d'accéder aux fonctionnalités réservées et gérer mon profil","337","Champs obligatoires vides","","2026-07-28","broken","2026-07-28","","","",""
"En tant que nouvel utilisateur d'Automation Exercise
  Je veux pouvoir créer un compte depuis la page de connexion
  Afin d'accéder aux fonctionnalités réservées et gérer mon profil","355","Email déjà existant","","2026-07-28","broken","2026-07-28","","","",""
